AN_WILTY_EP15_truth1,truth
AN_WILTY_EP15_truth2,truth
AN_WILTY_EP15_truth3,truth
AN_WILTY_EP15_truth6,truth
AN_WILTY_EP15_lie14,deception
AN_WILTY_EP15_lie16,deception
AN_WILTY_EP15_lie17,deception
AN_WILTY_EP15_truth20,truth
AN_WILTY_EP15_truth23,truth
AN_WILTY_EP15_truth24,truth
AN_WILTY_EP16_lie2,deception
AN_WILTY_EP16_truth8,truth
AN_WILTY_EP16_truth9,truth
AN_WILTY_EP16_truth10,truth
AN_WILTY_EP16_truth12,truth
AN_WILTY_EP16_truth14,truth
AN_WILTY_EP16_truth16,truth
AN_WILTY_EP16_lie17,deception
AN_WILTY_EP16_lie20,deception
AN_WILTY_EP16_lie21,deception
AN_WILTY_EP16_truth22,truth
AN_WILTY_EP16_truth24,truth
AN_WILTY_EP16_truth26,truth
AN_WILTY_EP17_lie1,deception
AN_WILTY_EP17_truth5,truth
AN_WILTY_EP17_truth6,truth
AN_WILTY_EP17_lie9,deception
AN_WILTY_EP17_truth10,truth
AN_WILTY_EP17_truth11,truth
AN_WILTY_EP17_lie13,deception
AN_WILTY_EP18_truth1,truth
AN_WILTY_EP18_truth2,truth
AN_WILTY_EP18_truth4,truth
AN_WILTY_EP18_lie9,deception
AN_WILTY_EP18_lie10,deception
AN_WILTY_EP18_lie14,deception
AN_WILTY_EP18_lie15,deception
AN_WILTY_EP18_lie18,deception
AN_WILTY_EP18_lie20,deception
AN_WILTY_EP18_lie21,deception
AN_WILTY_EP19_lie1,deception
AN_WILTY_EP19_lie2,deception
AN_WILTY_EP19_truth5,truth
AN_WILTY_EP19_lie7,deception
AN_WILTY_EP19_lie8,deception
AN_WILTY_EP19_lie9,deception
AN_WILTY_EP19_lie12,deception
AN_WILTY_EP19_lie15,deception
AN_WILTY_EP19_lie18,deception
AN_WILTY_EP19_truth20,truth
AN_WILTY_EP20_truth3,truth
AN_WILTY_EP20_lie6,deception
AN_WILTY_EP20_lie7,deception
AN_WILTY_EP20_truth11,truth
AN_WILTY_EP20_lie12,deception
AN_WILTY_EP20_lie15,deception
AN_WILTY_EP20_lie16,deception
AN_WILTY_EP21_lie1,deception
AN_WILTY_EP21_truth2,truth
AN_WILTY_EP21_truth3,truth
AN_WILTY_EP21_truth4,truth
AN_WILTY_EP21_lie5,deception
AN_WILTY_EP21_lie6,deception
AN_WILTY_EP21_lie10,deception
AN_WILTY_EP21_lie13,deception
AN_WILTY_EP21_lie14,deception
AN_WILTY_EP21_lie15,deception
AN_WILTY_EP21_lie17,deception
AN_WILTY_EP21_lie24,deception
AN_WILTY_EP22_truth1,truth
AN_WILTY_EP22_truth2,truth
AN_WILTY_EP22_lie6,deception
AN_WILTY_EP22_lie8,deception
AN_WILTY_EP22_lie10,deception
AN_WILTY_EP22_truth13,truth
AN_WILTY_EP22_truth14,truth
AN_WILTY_EP22_truth15,truth
AN_WILTY_EP22_truth19,truth
AN_WILTY_EP22_lie26,deception
AN_WILTY_EP22_lie27,deception
AN_WILTY_EP22_lie28,deception
AN_WILTY_EP22_lie29,deception
AN_WILTY_EP23_truth1,truth
AN_WILTY_EP23_truth2,truth
AN_WILTY_EP23_truth4,truth
AN_WILTY_EP23_truth5,truth
AN_WILTY_EP23_truth6,truth
AN_WILTY_EP23_truth9,truth
AN_WILTY_EP24_lie2,deception
AN_WILTY_EP24_lie3,deception
AN_WILTY_EP24_lie4,deception
AN_WILTY_EP24_lie5,deception
AN_WILTY_EP24_lie6,deception
AN_WILTY_EP24_lie7,deception
AN_WILTY_EP24_lie9,deception
AN_WILTY_EP24_lie10,deception
AN_WILTY_EP24_lie16,deception
AN_WILTY_EP24_lie17,deception
AN_WILTY_EP25_lie2,deception
AN_WILTY_EP25_truth4,truth
AN_WILTY_EP25_truth5,truth
AN_WILTY_EP25_lie7,deception
AN_WILTY_EP25_lie10,deception
AN_WILTY_EP25_lie11,deception
AN_WILTY_EP26_lie1,deception
AN_WILTY_EP26_truth2,truth
AN_WILTY_EP26_truth3,truth
AN_WILTY_EP26_truth4,truth
AN_WILTY_EP26_truth5,truth
AN_WILTY_EP26_truth6,truth
AN_WILTY_EP26_truth7,truth
AN_WILTY_EP26_truth8,truth
AN_WILTY_EP26_truth9,truth
AN_WILTY_EP26_truth10,truth
AN_WILTY_EP26_truth13,truth
AN_WILTY_EP26_lie14,deception
AN_WILTY_EP26_lie15,deception
AN_WILTY_EP26_lie16,deception
AN_WILTY_EP26_lie17,deception
AN_WILTY_EP27_lie2,deception
AN_WILTY_EP27_lie3,deception
AN_WILTY_EP27_truth7,truth
AN_WILTY_EP27_truth8,truth
AN_WILTY_EP27_truth10,truth
AN_WILTY_EP27_lie11,deception
AN_WILTY_EP27_truth15,truth
AN_WILTY_EP27_truth16,truth
AN_WILTY_EP28_lie2,deception
AN_WILTY_EP28_lie4,deception
AN_WILTY_EP28_lie6,deception
AN_WILTY_EP28_truth7,truth
AN_WILTY_EP28_truth8,truth
AN_WILTY_EP28_truth9,truth
AN_WILTY_EP28_truth10,truth
AN_WILTY_EP28_truth12,truth
AN_WILTY_EP28_truth14,truth
AN_WILTY_EP28_truth16,truth
YW_WILTY_EP43_truth2,truth
YW_WILTY_EP43_truth3,truth
YW_WILTY_EP43_lie2,deception
YW_WILTY_EP43_lie3,deception
YW_WILTY_EP43_lie4,deception
YW_WILTY_EP43_truth4,truth
YW_WILTY_EP43_lie7,deception
YW_WILTY_EP43_lie8,deception
YW_WILTY_EP43_truth6,truth
YW_WILTY_EP43_truth7,truth
YW_WILTY_EP43_truth8,truth
YW_WILTY_EP43_lie13,deception
YW_WILTY_EP43_lie14,deception
YW_WILTY_EP44_lie1,deception
YW_WILTY_EP44_lie2,deception
YW_WILTY_EP44_lie5,truth
YW_WILTY_EP44_truth1,truth
YW_WILTY_EP44_truth4,truth
YW_WILTY_EP44_lie6,deception
YW_WILTY_EP44_lie7,deception
YW_WILTY_EP44_truth5,truth
YW_WILTY_EP44_truth7,truth
YW_WILTY_EP44_lie11,deception
YW_WILTY_EP44_lie12,deception
YW_WILTY_EP44_lie15,deception
YW_WILTY_EP44_truth12,truth
YW_WILTY_EP44_truth13,truth
YW_WILTY_EP44_truth15,truth
YW_WILTY_EP45_lie3,deception
YW_WILTY_EP45_lie4,deception
YW_WILTY_EP45_lie5,deception
YW_WILTY_EP45_lie7,deception
YW_WILTY_EP45_lie8,deception
YW_WILTY_EP45_truth2,truth
YW_WILTY_EP45_truth4,truth
